"Compound/Formulation","Species","Avg/Med Lifespan Change (%)","Max Lifespan Change (%)","Strain","Dosage","Significant?","Reference"
"Lithocholic acid","Saccharomyces cerevisiae","105.5","93","BY4742","50 µM","Y","30405886"
"Thioflavin T","Caenorhabditis elegans","60","78","N2","50-100 µM","Y","21451522"
"Bacitracin","Caenorhabditis elegans","58.5","74","N2","0.01","Y","22114686"
"Acetaminophen","Caenorhabditis elegans","48.6","66","N2","0.10%","Y","22114686"
"Minocycline","Drosophila melanogaster","50","66","Oregon R","0.87 mM","Y","23185716"
"N-acetyl-L-cysteine","Caenorhabditis elegans","24.49","64","N2","9 mM","Y","27683245"
"Selenomethionine","Saccharomyces cerevisiae","","62","BY4741/BY4742","0.00045%","Y","33783357"
"Resveratrol","Nothobranchius furzeri","56","59","Gonarezhou","600 µg/g food","Y","16461283"
"Sorbitol","Caenorhabditis elegans","39.35","57.89","N2","500 mM","Y","26854551"
"Trimethadione","Caenorhabditis elegans","47","57","N2","4 mg/ml","Y","15653505"
"2-deoxy-D-glucose","Caenorhabditis elegans","12.93","56.49","N2","5 mM","Y","17908557"
"Dimethyl formamide","Caenorhabditis elegans","33","54","N2","0.0075","Y","23313473"
"Baicalein","Caenorhabditis elegans","36.7","52","N2","0.001","Y","22114686"
"Ciclopirox olamine","Caenorhabditis elegans","41","52","N2","0.0001","Y","22114686"
"Ascorbic acid","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 240 µg ascorbic acid","Y","19580823"
"Glutathione","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 360 µg glutathione","Y","19580823"
"Trimethadione","Caenorhabditis elegans","","50","N2","25 µL Liposomes + 0.6mg trimethadione","Y","19580823"
"Nicotinamide","Saccharomyces cerevisiae","35.96","50","W303-1A","5 mM","Y","27320176"
"Rapamycin","Drosophila melanogaster","38.4","50","Oregon-R","100 µM","Y","30269951"
"3,3-diethyl-2-pyrrolidinone","Caenorhabditis elegans","31","49","N2","2 mg/ml","Y","15653505"
"Curcumin","Drosophila melanogaster","49","49","Ra","100 mM","Y","23063786"
"Paraquat","Caenorhabditis elegans","58","48","N2","0.1 mM","Y","21151885"
"Aspirin","Mus musculus","8","47.2","UM-HET3","21 mg/kg food","Y","18631321"
"N-acetyl-L-cysteine","Caenorhabditis elegans","30.5","47.1","N2 CGCb strain","5 mM","Y","26039957"
"Mianserin","Caenorhabditis elegans","28.3","46","N2","50 µM","Y","26255886"
"Withanolide A","Caenorhabditis elegans","29.65","45.33","N2","5 µM","Y","26956478"
"N-acetyl-L-cysteine","Mus musculus","24","45","UM-HET3","10 g/L of water","Y","20819793"
"Sodium Chloride","Caenorhabditis elegans","40.53","44.44","N2","250 mM","Y","26854551"
"Sodium Chloride","Caenorhabditis elegans","40.53","44.44","N2","350 mM","Y","26854551"
"Rifampicin","Drosophila melanogaster","10.6","44.17","Oregon-R","50 µM","Y","30269951"
"Protease treated royal jelly","Caenorhabditis elegans","18","44","N2","10 µg/ml","Y","21858156"
"3:1 Mixture: salicyl-salicylic acid + aspirin","Drosophila melanogaster","12","43","Canton S","490 mg/100 mL of medium","N","4397875"
"Rhodiola rosea extract","Drosophila melanogaster","","42.9","","30 mg/mL every other day","ND","9825229"
"N-acetyl-L-cysteine","Caenorhabditis elegans","","42.9","N2","25 µL Liposomes + 100 µg NAC","Y","19580823"
"Valproic acid","Caenorhabditis elegans","35","42","N2","6 mM","Y","18248662"
"Salicylamide","Drosophila melanogaster","44","42","Canton S","650 mg/100 mL of medium","Y","4397875"
"4-phenylbutyrate","Drosophila melanogaster","40","41","Canton S","5 mM","ND","11792861"
"Rosmarinic acid","Caenorhabditis elegans","63.23","40.29","N2","180 μM","Y","31206890"
"Protocatechuic acid","Caenorhabditis elegans","38.9","40","N2","200 µM","Y","23780797"
"Dimethylaminoethyl p-chlorophenoxyacetate","Rattus norvegicus","27.3","39.7","Swiss","0.3g/L","Y","4147092"
"PDMP","Caenorhabditis elegans","37.5","39.13","N2","30 µM","Y","25437839"
"Curcumin","Drosophila melanogaster","46.8","38","Ra","100 mM","Y","23063786"
"Curcumin","Drosophila melanogaster","46.8","38","Ra","100 mM","Y","26136617"
"Phenylbutazone","Drosophila melanogaster","22","38","Canton S","100 mg/100 mL of medium","N","4397875"
"Trichostatin A","Drosophila melanogaster","27.3","37.9","Canton S","10 µM","Y","15346199"
"Trichostatin A","Drosophila melanogaster","23.3","37","Canton S","10 µM","Y","15346199"
"Ethosuximide","Caenorhabditis elegans","35","37","N2","4 mg/ml","Y","15653505"
"Resveratrol","Anastrepha ludens","8","36.3","","100 µM","N","19264118"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","55.7","36","Oregon R","20 µl/100 ml media","Y","20738162"
"myo-inositol","Caenorhabditis elegans","31","36","N2","500 mM","Y","32901024"
"Rapamycin","Caenorhabditis elegans","26","34.84","N2","100 µM","Y","24332851"
"East Indian sandalwood oil","Caenorhabditis elegans","26.36","34.78","N2","24 µ/mL","Y","30319772"
"Sodium hypophosphite","Zaprionus paravittiger","28.5","34.3","","1 mM","Y","3721207"
"Kinetin","Zaprionus paravittiger","-5.41","33.9","","6.25 ppm","N","9137816"
"Melatonin","Drosophila melanogaster","14","33","Oregon R","100 µg/ml","Y","11909680"
"Trimethadione","Caenorhabditis elegans","39","33","N2","4 mg/ml","Y","15653505"
"Erythromycin","Brachionus manjavacas","37","33","Russian","1 µM","Y","29340835"
"Indomethacin","Drosophila melanogaster","19","33","Canton S","31 mg/100 mL of medium","N","4397875"
"Resveratrol","Nothobranchius guentheri","23","32","TZ 97-2","100 µL","Y","22960591"
"Potassium Chloride","Caenorhabditis elegans","23.23","31.58","N2","250 mM","Y","26854551"
"Glycerol","Caenorhabditis elegans","33.55","31.58","N2","500 mM","Y","26854551"
"Rosmarinic acid","Caenorhabditis elegans","49.28","31.57","N2","120 μM","Y","31206890"
"L-deprenyl","Mus musculus","3.9","31.2","B6CBAF1","0.25 mg/kg 3x/week","N","8914495"
"Rhodiola rosea extract","Drosophila melanogaster","24","31","","25 mg/mL","Y","19634056"
"myo-inositol","Caenorhabditis elegans","25","31","N2","400 mM","Y","32901024"
"Carbinoxamine maleate","Drosophila melanogaster","25","31","Canton S","4 mg/100 mL of medium","N","4397875"
"Paraquat","Caenorhabditis elegans","23.73","30.77","N2","100 µM","Y","27683245"
"East Indian sandalwood oil","Caenorhabditis elegans","31.32","30.43","N2","24 µ/mL","Y","30319772"
"Auten-67","Drosophila melanogaster","","30","","30 µM","Y","26312549"
"Buthus martensii Karsch Polypeptide Toxin","Caenorhabditis elegans","22.5","29.27","N2","Polypeptide DNA sequence inserted into the pGEX-4T-1 plasmid and transformed into pGEX-4T-1","Y","28088444"
"Resveratrol","Caenorhabditis elegans","50.8","29.2","N2","50 µM","Y","17460219"
"Trimethadione","Caenorhabditis elegans","24","29","N2","4 mg/ml","Y","15653505"
"Quercetin","Caenorhabditis elegans","18","29","N2","200 µM","Y","19043800"
"Rhodiola rosea extract","Drosophila melanogaster","","28.6","","30 mg/mL every other day","ND","9825229"
"Myxothiazol","Caenorhabditis elegans","32.3","28.6","N2","10 µM","Y","18221415"
"guarana ethanolic extract","Caenorhabditis elegans","36.36","28.57","N2","500 µg/mL","Y","29972429"
"guarana ethanolic extract","Caenorhabditis elegans","36.36","28.57","N2","1000 µg/mL","Y","29972429"
"Echinacea purpurea root","Mus musculus","","28","BALB/cByJ","2 mg/day","ND","16041619"
"4-dafachronic acid","Caenorhabditis elegans","16.6","28","N2","250 nM","Y","17360327"
"Isoprenol","Caenorhabditis elegans","25.26","28","N2","0.5 mM","Y","30624146"
"Ellagic acid","Drosophila melanogaster","24.96","27.7","Canton-S","200 µM","Y","31786733"
"Sodium hypophosphite","Zaprionus paravittiger","28.1","27","","1 mM","Y","3721207"
"Butylated hydroxyanisole","Zaprionus paravittiger","15.1","27","","10 mM","Y","9207858"
"Sodium salicylate","Drosophila melanogaster","25","27","Canton S","175 mg/100 mL of medium","Y","4397875"
"Tripelennamine HCl","Drosophila melanogaster","19","27","Canton S","25 mg/100 mL of medium","N","4397875"
"Resveratrol","Anastrepha ludens","-2.3","26.5","","100 µM","N","19264118"
"D609","Caenorhabditis elegans","25","26.08","N2","30 µM","Y","25437839"
"Myriocin","Caenorhabditis elegans","31.25","26.06","N2","30 µM","Y","25437839"
"Phenformin","Mus musculus","21","26","C3H/Sn","2 mg, 5 times a week","Y","14618027"
"Chlorpromazine HCl","Drosophila melanogaster","19","26","Canton S","25 mg/100 mL of medium","N","4397875"
"Carnosol","Caenorhabditis elegans","19.02","25.81","N2","180 μM","Y","31341531"
"Ethoxyquin","Mus musculus","19.9","25.62","C3H","0.5% w/w","Y","4927196"
"Kinetin","Zaprionus paravittiger","60","25.37","","25 ppm","Y","9137816"
"Kinetin","Zaprionus paravittiger","7.5","25.37","","50 ppm","N","9137816"
"Quercetin","Caenorhabditis elegans","11","25","N2","100 µM","Y","19043800"
"Naphthazarin","Caenorhabditis elegans","22","25","N2","500 µM","Y","21765926"
"Curcumin","Drosophila melanogaster","-8.2","25","Ra","100 mM","Y","23063786"
"Curcumin","Drosophila melanogaster","16.3","25","Ra","100 mM","Y","23063786"
"Minocycline","Drosophila melanogaster","50","25","Oregon R","0.87 mM","Y","23185716"
"Protocatechuic acid","Caenorhabditis elegans","23","25","N2","100 µM","Y","23780797"
"Whole apple extract","Caenorhabditis elegans","39","25","N2","10 mg/ml","Y","23878618"
"β-Santalol","Caenorhabditis elegans","12.56","25","N2","16 µM","Y","30319772"
"β-Santalol","Caenorhabditis elegans","25.38","25","N2","16 µM","Y","30319772"
"Rifampicin","Caenorhabditis elegans","32.1","24.95","N2","50 µM","Y","30269951"
"Withanolide A","Caenorhabditis elegans","15.79","24.58","N2","25 µM","Y","26956478"
"N-acetyl-L-cysteine","Drosophila melanogaster","26.8","24.5","Oregon R","10 mg/ml","Y","9447249"
"Beryllium sulfate","Mus musculus","-8.97","24.05","Swiss","5 ppm","N","1113210"
"Ethosuximide","Caenorhabditis elegans","13","24","N2","2 mg/ml","Y","15653505"
"Oxoline","Caenorhabditis elegans","12","24","N2","1 mM","Y","21765926"
"Oxoline","Caenorhabditis elegans","10","24","N2","1 mM","Y","21765926"
"Baicalein","Caenorhabditis elegans","45","24","N2","100 µM","ND","23339711"
"Fucoxanthin","Caenorhabditis elegans","14","24","N2","5 µM","Y","26292053"
"Blueberry extract","Caenorhabditis elegans","44.42","24","N2","200 mg/mL","Y","30238944"
"Ellagic acid","Drosophila melanogaster","26.22","23.8","Canton-S","200 µM","Y","31786733"
"N-acetyl-L-cysteine","Caenorhabditis elegans","27.1","23.5","N2 CGCb strain","2 mM","Y","26039957"
"Ethoxyquin","Mus musculus","18.1","23.34","C3H","0.5% w/w","Y","4927196"
"Metamizole","Caenorhabditis elegans","18.3","23.2","N2","10 µM","Y","31089188"
"Anisomycin","Caenorhabditis elegans","21.96","23.13","N2","1 µM","Y","31089188"
"Trimethadione","Caenorhabditis elegans","41","23","N2","4 mg/ml","Y","15653505"
"Resveratrol","Nothobranchius guentheri","13","23","TZ 97-2","100 µL","Y","22960591"
"Meclofenoxate","Drosophila melanogaster","28","23","cross between Canton S females with Oregon RC males","120 mg/100 mL of medium","Y","4397875"
"Sodium hypophosphite","Zaprionus paravittiger","24.9","22.9","","100 µM","Y","3721207"
"Kinetin","Zaprionus paravittiger","16.22","22.73","","50 ppm","Y","9137816"
"Isoprenol","Caenorhabditis elegans","19.23","22.6","N2","1 mM","Y","30624146"
"Resveratrol","Anastrepha ludens","15.6","22.5","","100 µM","Y","19264118"
"LY-294002","Drosophila melanogaster","14","22.5","Canton S","5 µM","Y","20017609"
"Psora-4","Caenorhabditis elegans","32.85","22.05","N2","100 µM","Y","30269951"
"Kinetin","Zaprionus paravittiger","59.46","22.03","","25 ppm","Y","9137816"
"Ethosuximide","Caenorhabditis elegans","17","22","N2","4 mg/ml","Y","15653505"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","31.3","22","Oregon R","12 µl/100 ml media","Y","20738162"
"Ivermectin","Brachionus manjavacas","21","22","Russian","1 µM","Y","29340835"
"Sodium hypophosphite","Zaprionus paravittiger","23.6","21.9","","5 mM","Y","3721207"
"East Indian sandalwood oil","Caenorhabditis elegans","17.1","21.73","N2","12 µ/mL","Y","30319772"
"Astaxanthin","Caenorhabditis elegans","28.6","21.7","N2","1 mM","Y","22013497"
"Carnosic acid","Caenorhabditis elegans","16","21.65","N2","180 µM","Y","30758000"
"Myricetin","Caenorhabditis elegans","17.99","21.65","N2","100 µM","Y","22155175"
"FCCP","Caenorhabditis elegans","17.3","21.6","N2","50 µM","Y","20346071"
"FCCP","Caenorhabditis elegans","27.8","21.4","N2","50 µM","Y","18221415"
"guarana ethanolic extract","Caenorhabditis elegans","18.18","21.4","N2","100 µg/mL","Y","29972429"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","26.8","21.3","Oregon R","12 µl/100 ml media","Y","20738162"
"Vitamin E","Zaprionus paravittiger","17.19","21.13","","5 μg/mL","Y","8930618"
"Metformin","Caenorhabditis elegans","21.65","21.13","N2","50 mM","Y","30269951"
"Sodium hypophosphite","Zaprionus paravittiger","18","21","","100 µM","Y","3721207"
"2-Ethyl-6-methylpyridin-3-ol hydrochloride","Drosophila melanogaster","23","21","D32","0.1 %","Y","119648"
"Dexamethasone sodium phosphate","Drosophila melanogaster","29","21","Canton S","0.5 mg/100 mL of medium","Y","4397875"
"Melatonin","Paramecium tetraurelia","22.8","20.9","","10 mg/L","Y","9406982"
"Curcumin","Drosophila melanogaster","25","20.2","Ra","100 mM","Y","23063786"
"Acanthopanax sessiliflorus stem extract","Caenorhabditis elegans","18","20","N2","500 mg/L","Y","25324932"
"Dehydroabietic acid","Caenorhabditis elegans","12.8","20","N2","10 µM","Y","25976661"
"N-acetyl-L-cysteine","Caenorhabditis elegans","9.07","20","N2","3 mM","Y","27683245"
"Blueberry extract","Caenorhabditis elegans","36.52","20","N2","100 mg/mL","Y","30238944"
"Phosphatidylethanolamine","Caenorhabditis elegans","12.7","20","N2","1 mg/L","Y","33974957"
"HF","Caenorhabditis elegans","12.7","20","N2","1 mg/L","Y","33974957"
"myo-inositol","Caenorhabditis elegans","26","20","N2","600 mM","Y","32901024"
"Hydrocortisone acetate","Drosophila melanogaster","25","20","cross between Canton S females with Oregon RC males","500 mg/100 mL of medium","Y","4397875"
"Nicotinamide","Saccharomyces cerevisiae","20.2","19.83","W303-1A","1 mM","Y","27320176"
"Sodium hypophosphite","Zaprionus paravittiger","25.4","19.7","","5 mM","Y","3721207"
"Kinetin","Zaprionus paravittiger","80","19.7","","25 ppm","Y","7488181"
"Allantoin","Caenorhabditis elegans","21.6","19.7","N2","250 µM","Y","30269951"
"N-Acetyl Cysteine","Drosophila kikkawai","8","19.4","","10 nM","Y","30243020"
"Kinetin","Zaprionus paravittiger","-2.5","19.4","","6.25 ppm","N","9137816"
"Azacytidine","Caenorhabditis elegans","25.8","19.4","N2","1 µM","Y","31089188"
"Ribes fasciculatum eylacetate fraction","Caenorhabditis elegans","16.3","19.05","N2","500 µg/mL","Y","27478096"
"N-acetyl-L-cysteine","Caenorhabditis elegans","14.6","19","N2 CGCb strain","5 mM","N","26039957"
"Metamizole","Caenorhabditis elegans","18.3","19","N2","1 µM","Y","31089188"
"S-allylmercapto-N-acetylcysteine","Caenorhabditis elegans","15.5","18.75","CF512","2 mM","Y","29579097"
"S-allylmercapto-N-acetylcysteine","Caenorhabditis elegans","14.24","18.75","CF512","5 mM","Y","29579097"
"Resveratrol","Caenorhabditis elegans","6.24","18.75","N2","50 µM","Y","27683245"
"Dimethyl sulfoxide","Caenorhabditis elegans","29","18.6","N2","0.005","Y","20828537"
"Quercetin","Caenorhabditis elegans","5.79","18.35","N2","100 µM","Y","22155175"
"Vanadyl sulfate","Mus musculus","0.17","18.23","Swiss","5 ppm","Y","1113210"
"Dehydroabietic acid","Caenorhabditis elegans","11.8","18.1","N2","10 µM","Y","25976661"
"Oxoline","Caenorhabditis elegans","13","18","N2","1 mM","Y","21765926"
"Tocotrienol","Caenorhabditis elegans","21","18","N2","86 µg","Y","22484623"
"Lithium Chloride","Drosophila melanogaster","18","18","Dahomey","25 mM","Y","27068460"
"Captopril","Caenorhabditis elegans","23","18","N2","3.18 mM","Y","26918946"
"Hydrocortisone acetate","Drosophila melanogaster","30","18","cross between Canton S females with Oregon RC males","10 mg/100 mL of medium","Y","4397875"
"3:1 Mixture: salicyl-salicylic acid + aspirin","Drosophila melanogaster","31","18","Canton S","490 mg/100 mL of medium","Y","4397875"
"Chlorpheniramine maleate","Drosophila melanogaster","-1","18","Canton S","16 mg/100 mL of medium","N","4397875"
"Melatonin","Paramecium tetraurelia","","17.9","","10 mg/L","N","9406982"
"Nobiletin","Caenorhabditis elegans","21","17.64","N2","12.5 µM","Y","31948007"
"Butylated hydroxyanisole","Zaprionus paravittiger","27","17.6","","10 mM","Y","9207858"
"N-acetyl-L-cysteine","Caenorhabditis elegans","28.1","17.6","N2 CGCb strain","1 mM","Y","26039957"
"Rapamycin","Mus musculus","13","17.6","C57BL/6J.Nia","2 mg/kg every 5 days","Y","27091134"
"Resveratrol","Anastrepha ludens","2.6","17.5","","100 µM","N","19264118"
"Prenol","Caenorhabditis elegans","22.96","17.46","N2","0.25 mM","Y","32725551"
"Kinetin","Zaprionus paravittiger","-2.9","17.1","","125 ppm","Y","7488181"
"Vitamin E","Paramecium tetraurelia","11.7","17.1","","25 mg/L","ND","9406982"
"L-deprenyl","Rattus norvegicus","16.7","17","Fischer 344","0.0025","Y","2118586"
"Resveratrol","Nothobranchius guentheri","42.9","17","","12 µg","Y","23220248"
"Caffeic acid phenethylester","Caenorhabditis elegans","9","17","","","Y","24964141"
"2-Ethyl-6-methylpyridin-3-ol hydrochloride","Drosophila melanogaster","22","17","R(1)2 yy/y+Y","0.01 %","Y","119648"
"magnesium L-thiazolidine-4-carboxylate","Drosophila melanogaster","16","17","Oregon-R","0.2 %","Y","118043"
"Dexamethasone sodium phosphate","Drosophila melanogaster","-15","17","cross between Canton S females with Oregon RC males","5 mg/100 mL of medium","N","4397875"
"Kinetin","Zaprionus paravittiger","32.43","16.95","","12.5 ppm","Y","9137816"
"Rosmarinic acid","Caenorhabditis elegans","40.04","16.82","N2","60 μM","Y","31206890"
"Astragaloside IV","Caenorhabditis elegans","27.78","16.73","N2","5 µM","Y","32741299"
"Resveratrol","Anastrepha ludens","-2.3","16.7","","100 µM","N","19264118"
"Dehydroabietic acid","Caenorhabditis elegans","10.3","16.7","N2","1 µM","Y","25976661"
"Dehydroabietic acid","Caenorhabditis elegans","15.5","16.7","N2","10 µM","Y","25976661"
"Sodium Chloride","Caenorhabditis elegans","19.59","16.67","N2","150 mM","Y","26854551"
"Resveratrol","Anastrepha ludens","1.3","16.6","","100 µM","N","19264118"
"Torin 1","Drosophila melanogaster","36.36","16.6","Dahomey","1 µM","Y","29329306"
"Ellagic acid","Drosophila melanogaster","15.43","16.6","Canton-S","100 µM","Y","31786733"
"Quercetin","Podospora anserina","10.2","16.6","s","300 μM","Y","29780405"
"L-deprenyl","Mesocricetus auratus","","16.4","","0.05 mg/kg/day","Y","9258898"
"Rapamycin","Caenorhabditis elegans","25.9","16.38","N2","100 µM","Y","30269951"
"LY-294002","Drosophila melanogaster","14.3","16.3","Canton S","5 µM","Y","20017609"
"Vanadyl sulfate","Mus musculus","12.43","16.14","Swiss","5 ppm","Y","1113210"
"Isorhamnetin","Caenorhabditis elegans","15.92","16.04","N2","200 µM","Y","21776484"
"Quercetin","Caenorhabditis elegans","8","16","N2","100 µM","Y","19043800"
"Rhodiola rosea extract","Drosophila melanogaster","24","16","","25 mg/mL","Y","19634056"
"Naphthazarin","Caenorhabditis elegans","19","16","N2","200 µM","Y","21765926"
"Triptolide","Caenorhabditis elegans","20.1","16","N2","50 mg/L","Y","28471052"
"Captopril","Caenorhabditis elegans","34","16","N2","2.54 mM","Y","26918946"
"Blueberry extract","Caenorhabditis elegans","22.23","16","N2","50 mg/mL","Y","30238944"
"Hydrocortisone acetate","Drosophila melanogaster","32","16","cross between Canton S females with Oregon RC males","10 mg/100 mL of medium","Y","4397875"
"Kinetin","Zaprionus paravittiger","22.9","15.8","","125 ppm","Y","7488181"
"6-shogaol","Caenorhabditis elegans","25.9","15.78","N2","25 µM","Y","29978428"
"Vitamin E","Zaprionus paravittiger","11.8","15.67","","5 μg/mL","Y","8930618"
"Rebaudioside A","Caenorhabditis elegans","17.65","15.58","N2","0.0083 mM","Y","33567712"
"Cordyceps sinensis oral liquid","Drosophila melanogaster","32","15.4","Oregon-K","0.20 mg/ml","Y","26239097"
"Lithocholic acid","Drosophila melanogaster","24.94","15.39","w1118","50 µM","Y","30051966"
"Omega-3 Monoacylglyceride Docosahexaenoic acid","Drosophila melanogaster","14.58","15.32","w1118","0.3 mg/mL","Y","30453574"
"Propyl gallate","Zaprionus paravittiger","8.7","15.3","","25 µg/ml","Y","8950031"
"L-deprenyl","Mus musculus","2.7","15.3","B6D2F1","0.25 mg/kg 3x/week","N","8914495"
"Withanolide A","Caenorhabditis elegans","10.81","15.12","N2","50 µM","Y","26956478"
"N-acetyl-L-cysteine","Drosophila melanogaster","14.1","15.1","Oregon R","1 mg/ml","ND","9447249"
"N-acetyl-L-cysteine","Drosophila melanogaster","16.8","15.1","Oregon R","100 µg/ml","Y","9447249"
"Vitamin E","Zaprionus paravittiger","11.26","15.04","","10 μg/mL","Y","8930618"
"Quercetin","Caenorhabditis elegans","19","15","N2","100 µM","Y","18024103"
"Oxoline","Caenorhabditis elegans","9","15","N2","100 µM","N","21765926"
"Hydrocortisone acetate","Drosophila melanogaster","32","15","cross between Canton S females with Oregon RC males","120 mg/100 mL of medium","Y","4397875"
"Stachys lavandulifolia water extract","Drosophila melanogaster","32","14.9","Oregon R","20 µl/100 ml media","Y","20738162"
"Luteolin","Caenorhabditis elegans","17.65","14.82","N2","100 µM","Y","29375370"
"Melatonin","Paramecium tetraurelia","20.8","14.8","","10 mg/L","Y","9406982"
"Astaxanthin","Caenorhabditis elegans","20.8","14.6","N2","6 µg","Y","22484623"
"Rapamycin","Mus musculus","14.34","14.56","N mice","4 mg/kg BW","Y","29378959"
"Alpha-lipoic acid","Caenorhabditis elegans","24.2","14.3","N2","24 µM","Y","17156833"
"Resveratrol","Caenorhabditis elegans","15.4","14.3","N2","50 µM","Y","25976661"
"Glucose","Caenorhabditis elegans","31.25","14.29","N2","2%","Y","26764305"
"Edetic acid","Asplanchna brightwelli","-14.97","14.28","4B61","0.25 %","N","7428860"
"Chlorogenic Acid","Caenorhabditis elegans","20.1","14.28","N2","50 μM","Y","27378235"
"Polypeptide Pineal extract","Mus musculus","31","14","C3H/Sn","0.5 mg","Y","6752596"
"Rapamycin","Mus musculus","13","14","Hybrid of CB6F1(F)& C3D2F1(M)","2.24 mg/kg/day","Y","19587680"
"Stachys lavandulifolia ethanol extract","Drosophila melanogaster","16","14","Oregon R","4 µl/100 ml media","Y","20738162"
"Stachys lavandulifolia water extract","Drosophila melanogaster","35.6","14","Oregon R","20 µl/100 ml media","Y","20738162"
"Naphthazarin","Caenorhabditis elegans","8","14","N2","200 µM","Y","21765926"
"Oxoline","Caenorhabditis elegans","15","14","N2","500 µM","Y","21765926"
"Proanthocyanidins from Kunlun Chrysanthemum flowers","Drosophila melanogaster","16.8","14","Oregon R+","","Y","25628774"
"10-hydroxy-2-decenoic Acid","Caenorhabditis elegans","10","14","N2","25 µM","Y","25789174"
"Fluprednisolone","Drosophila melanogaster","15","14","Canton S","0.047 mg/100 mL of medium","N","4397875"
"Chloroquine phosphate","Drosophila melanogaster","11","14","Canton S","250 mg/100 mL of medium","N","4397875"
"Colchine","Drosophila melanogaster","25","14","Canton S","0.25 mg/100 mL of medium","N","4397875"
"Purple sweet potato anthocyanin","Drosophila melanogaster","","14","","10 mg/mL","Y","27329928"
"Resveratrol","Anastrepha ludens","2.6","13.9","","100 µM","N","19264118"
"N-Acetyl Cysteine","Drosophila kikkawai","16","13.9","","100 µM","Y","30243020"
"N-Acetyl Cysteine","Drosophila kikkawai","16","13.9","","1 mM","Y","30243020"
"Torin 1","Drosophila melanogaster","50","13.89","Dahomey","5 µM","Y","29329306"
"Electrolyzed reduced water","Caenorhabditis elegans","17.3","13.8","N2","","Y","23959012"
"Nobiletin","Caenorhabditis elegans","8.7","13.72","N2","3.13 µM","Y","31948007"
"Ginseng","Mus musculus","2.79","13.7","LACa","40 mg/kg/day","N","571386"
"Phosphatidylserine","Caenorhabditis elegans","7.02","13.63","N2","100 μg/L","Y","31915963"
"2-Ethyl-6-methylpyridin-3-ol hydrochloride","Drosophila melanogaster","2.28","13.63","R(1)2 yy/y+Y","0.01 %","N","119648"
"Astragaloside IV","Caenorhabditis elegans","13.89","13.62","N2","2.5 µM","Y","32741299"
"Paraquat","Caenorhabditis elegans","24.6","13.58","N2","200 µM","Y","28992589"
"Dichloroacetate","Caenorhabditis elegans","7.9","13.5","N2","50 µg/ml","Y","21153705"
"Lithium Chloride","Drosophila melanogaster","23","13.5","Dahomey","25 mM","Y","27068460"
"Sodium hypophosphite","Zaprionus paravittiger","13","13.3","","10 µM","Y","3721207"
"Tyrosine-Alanine Dipeptide","Caenorhabditis elegans","10.37","13.04","N2","1 mM","Y","26987062"
"Tyrosine-Alanine Dipeptide","Caenorhabditis elegans","12.43","13.04","N2","10 mM","Y","26987062"
"Epigallocatechin-3-gallate","Caenorhabditis elegans","20","13","N2","100 µM","N","20513639"
"Marine collagen peptides","Rattus norvegicus","11","13","Sprague-Dawley","0.09","Y","20553190"
"Plumbagin","Caenorhabditis elegans","11","13","N2","25 µM","Y","21765926"
"Rosa damascena extract","Drosophila melanogaster","31.7","13","B","","Y","21928072"
"Curcumin","Drosophila melanogaster","12.6","13","Oregon R","1 mg/g","Y","22653297"
"N-(3-(aminomethyl)benzyl)acetamidine","Drosophila melanogaster","3","13","Canton S","0.03 µM","Y","24096697"
"Oxaloacetate","Caenorhabditis elegans","25","13","N2","8 mM","Y","19793063"
"Lithium Chloride","Drosophila melanogaster","13","13","Dahomey","10 mM","Y","27068460"
"IP6","Caenorhabditis elegans","11","13","N2","50 mM","Y","32901024"
"Tripelennamine HCl","Drosophila melanogaster","18","13","Canton S","25 mg/100 mL of medium","N","4397875"
"Kinetin","Zaprionus paravittiger","14.2","12.9","","25 ppm","Y","7488181"
"Rosa damascena extract","Drosophila melanogaster","22.4","12.7","B","","Y","21928072"
"S-allylmercapto-N-acetylcysteine","Caenorhabditis elegans","8.38","12.5","CF512","0.5mM","Y","29579097"
"Pyrroloquinoline quinone","Caenorhabditis elegans","31.25","12.5","N2","5 mM","Y","28676501"
"Glucose","Caenorhabditis elegans","-5.88","12.5","N2","1%","N","26764305"
"Glucose","Caenorhabditis elegans","-5.88","12.5","N2","2%","Y","26764305"
"Sodium hypophosphite","Zaprionus paravittiger","13.2","12.4","","10 µM","Y","3721207"
"BP-C3","Mus musculus","8.4","12.4","Swiss-Derived SHR","10 mg/kg Daily","Y","27574962"
"2-Ethyl-6-methylpyridin-3-ol hydrochloride","Drosophila melanogaster","20.4","12.4","D32","0.01 %","Y","119648"
"STX64","Caenorhabditis elegans","14","12.31","N2","1 μg/ml","Y","33397961"
"Gamma-tocopherol","Caenorhabditis elegans","10.1","12.3","N2","43 µg","Y","22484623"
"Indole","Caenorhabditis elegans","15.91","12.3","N2","100 µM","Y","28827958"
"Propyl gallate","Zaprionus paravittiger","15.1","12.2","","25 µg/ml","Y","8950031"
"Metformin","Nothobranchius guentheri","34.7","12.2","","2 mg/g food","Y","32361753"
"Naphthazarin","Caenorhabditis elegans","11","12","N2","100 µM","Y","21765926"
